rank,country,iq,pop2021
1,Japan,106.48,126050.804
2,Taiwan,106.47,23855.01
3,Singapore,105.89,5896.686
4,Hong Kong,105.37,7552.81
5,China,104.1,1444216.107
6,South Korea,102.35,51305.186
7,Belarus,101.6,9442.862
8,Finland,101.2,5548.36
9,Liechtenstein,101.07,38.25
11,Netherlands,100.74,17173.099
10,Germany,100.74,83900.473
12,Estonia,100.72,1325.185
13,Luxembourg,99.87,634.814
14,Macau,99.82,658.394
15,Cambodia,99.75,16946.438
16,Canada,99.52,38067.903
19,Switzerland,99.24,8715.494
18,Hungary,99.24,9634.164
17,Australia,99.24,25788.215
20,United Kingdom,99.12,68207.116
21,Greenland,98.89,56.877
22,North Korea,98.82,25887.041
23,Slovenia,98.6,2078.724
24,New Zealand,98.57,4860.643
25,Austria,98.38,9043.07
26,Iceland,98.26,343.353
27,Denmark,97.83,5813.298
28,Belgium,97.49,11632.326
29,United States,97.43,332915.073
30,Norway,97.13,5465.63
31,Sweden,97,10160.169
32,France,96.69,65426.179
33,Poland,96.35,37797.005
34,Slovakia,96.32,5460.721
35,Russia,96.29,145912.025
36,Lithuania,95.89,2689.862
37,Croatia,95.75,4081.651
38,Andorra,95.2,77.355
39,Ireland,95.13,4982.907
40,Czech Republic,94.92,10724.555
41,Latvia,94.79,1866.942
42,Italy,94.23,60367.477
44,New Caledonia,93.92,288.218
43,Vanuatu,93.92,314.464
45,Spain,93.9,46745.216
46,Bermuda,93.48,62.09
47,Cyprus,93.39,1215.584
48,Portugal,92.77,10167.925
49,Israel,92.43,8789.774
50,Barbados,91.6,287.711
51,Malta,91.27,442.784
52,Myanmar,91.18,54806.012
53,Mongolia,91.03,3329.289
54,Bulgaria,90.99,6896.663
55,Greece,90.77,10370.744
56,Suriname,90.29,591.8
57,Ukraine,90.07,43466.819
58,Moldova,89.98,4024.019
59,Serbia,89.6,8697.55
60,Vietnam,89.53,98168.833
61,Iraq,89.28,41179.35
62,Uzbekistan,89.01,33935.763
63,Kazakhstan,88.89,18994.962
64,Thailand,88.87,69950.85
65,Armenia,88.82,2968.127
66,Bosnia and Herzegovina,88.54,3263.466
67,Costa Rica,88.34,5139.052
68,Bhutan,87.94,779.898
69,Chile,87.89,19212.361
70,Mexico,87.73,130262.216
71,Tajikistan,87.71,9749.627
72,Uruguay,87.59,3485.151
